constellation,OBJECT_NAME,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,REV_AT_EPOCH,ELEMENT_SET_NO,OBJECT_TYPE,DECAY_DATE
GLONASS,COSMOS 800,8645,2026-03-29T05:13:05.913984,13.72195808,0.0020998,82.9764,175.3275,199.2122,189.8048,3.6491e-05,4.8e-07,0.0,7369.835,104.941,1007.175,976.225,51042,999,PAYLOAD,
GLONASS,COSMOS 803,8688,2026-03-28T19:12:16.587072,15.61802486,0.00014215,65.8353,249.3384,300.6752,59.4265,0.00016908364,0.00014466,0.0,6760.587,92.201,383.413,381.491,77929,999,PAYLOAD,
GLONASS,COSMOS 807,8744,2026-03-29T04:33:28.339776,14.61660921,0.0461189,82.9172,28.4427,150.9852,325.1776,0.00032446,8.032e-05,0.0,7065.953,98.518,1013.692,361.944,53793,999,PAYLOAD,
GLONASS,COSMOS 823,8873,2026-03-28T19:58:19.739424,13.73532686,0.00237736,82.9699,195.498,80.7287,33.555,2.4681444e-05,3.8e-07,0.0,7365.052,104.839,1004.427,969.408,49611,999,PAYLOAD,
GLONASS,COSMOS 825,8889,2026-03-29T05:15:43.488576,12.55741849,0.005952,73.9984,130.1271,263.9031,164.218,0.00012969,5e-08,0.0,7818.707,114.673,1487.109,1394.035,28214,999,PAYLOAD,
GLONASS,COSMOS 826,8890,2026-03-29T05:35:44.782080,12.3855274,0.0039898,74.002,183.7723,194.1344,194.1499,-9.6761e-05,-2.8e-07,0.0,7890.881,116.265,1544.229,1481.263,25098,999,PAYLOAD,
GLONASS,COSMOS 827,8891,2026-03-29T04:45:31.831776,12.53308536,0.0048424,73.9987,240.8703,39.8705,132.4888,5.8129e-05,-7e-08,0.0,7828.824,114.896,1488.599,1412.778,69552,999,PAYLOAD,
GLONASS,COSMOS 828,8892,2026-03-29T04:42:09.483840,12.50986691,0.0036104,74.0044,346.5109,163.4723,311.9438,2.6711e-05,-1.2e-07,0.0,7838.508,115.109,1488.673,1432.072,27349,999,PAYLOAD,
GLONASS,COSMOS 829,8893,2026-03-29T03:12:52.812576,12.48679296,0.0026523,73.997,90.6649,292.167,138.3719,0.00017099,9e-08,0.0,7848.161,115.322,1490.842,1449.21,26929,999,PAYLOAD,
GLONASS,COSMOS 830,8894,2026-03-28T18:01:30.141984,12.46259427,0.00151875,74.0018,200.3294,80.6986,33.9833,-8.2022212e-05,-2.8e-07,0.0,7858.317,115.546,1492.117,1468.247,26485,999,PAYLOAD,
GLONASS,COSMOS 831,8895,2026-03-29T01:37:17.350752,12.43746396,0.0021131,74.0008,312.3118,251.4801,276.8905,0.00015043,5e-08,0.0,7868.899,115.779,1507.391,1474.136,26033,999,PAYLOAD,
GLONASS,COSMOS 832,8896,2026-03-29T00:52:12.984960,12.41321346,0.0023674,73.9997,60.6871,48.2734,19.3487,0.00010877,-1e-08,0.0,7879.144,116.005,1519.662,1482.356,25595,999,PAYLOAD,
GLONASS,COSMOS 836,8923,2026-03-29T04:58:01.935840,14.34087498,0.0017441,74.0514,121.4794,15.1531,345.014,5.8187e-05,1.37e-06,0.0,7156.237,100.412,790.584,765.621,59874,999,PAYLOAD,
GLONASS,COSMOS 839,9011,2026-03-29T05:12:50.011200,12.32895612,0.0708455,65.8538,58.3948,318.4546,36.4607,9.1217e-05,-3e-07,0.0,7915.001,116.798,2097.608,976.124,25027,999,PAYLOAD,
GLONASS,COSMOS 841,9022,2026-03-29T04:09:40.083840,14.36805128,0.001319,74.0409,88.0339,196.1548,163.9186,7.8416e-05,2.05e-06,0.0,7147.211,100.222,778.503,759.649,60088,999,PAYLOAD,
GLONASS,COSMOS 842,9025,2026-03-29T02:40:41.009664,13.74242378,0.0028836,82.9838,115.147,126.3551,288.3349,4.7441e-05,6e-07,0.0,7362.517,104.785,1005.612,963.151,49109,999,PAYLOAD,
GLONASS,COSMOS 846,9061,2026-03-29T04:20:23.032032,13.7664625,0.0042228,82.9285,120.2161,42.5412,22.8562,5.1645e-05,6.6e-07,0.0,7353.943,104.602,1006.862,944.754,76422,999,PAYLOAD,
GLONASS,COSMOS 858,9443,2026-03-29T02:09:22.773888,14.35107285,0.0012819,74.0485,304.8861,83.7692,276.492,5.5048e-05,1.31e-06,0.0,7152.847,100.341,783.881,765.543,58726,999,PAYLOAD,
