OBJECT_NAME,OBJECT_ID,anomaly_score,anomaly_factors,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-36358,2026-018K,2,INCLINATION=HIGH (97.284300 > 83.857200); BSTAR=LOW (-0.019834 < -0.003262),0.0001687,97.2843,-0.019834,15.67399442
STARLINK-36359,2026-038U,2,INCLINATION=HIGH (97.270100 > 83.857200); BSTAR=LOW (-0.008091 < -0.003262),0.0001221,97.2701,-0.0080914,15.83547627
STARLINK-36361,2026-035X,2,INCLINATION=HIGH (97.268600 > 83.857200); BSTAR=LOW (-0.007054 < -0.003262),0.0001547,97.2686,-0.0070537,15.818578
STARLINK-36363,2026-035M,2,INCLINATION=HIGH (97.271600 > 83.857200); BSTAR=LOW (-0.007124 < -0.003262),0.0001449,97.2716,-0.0071238,15.82815895
STARLINK-36364,2026-038T,2,INCLINATION=HIGH (97.267900 > 83.857200); BSTAR=LOW (-0.007417 < -0.003262),0.0001358,97.2679,-0.0074174,15.84536597
STARLINK-36365,2026-022U,2,INCLINATION=HIGH (97.284700 > 83.857200); BSTAR=LOW (-0.020840 < -0.003262),0.0001531,97.2847,-0.02084,15.65907516
STARLINK-36368,2026-035J,2,INCLINATION=HIGH (97.272300 > 83.857200); BSTAR=LOW (-0.006974 < -0.003262),0.0001504,97.2723,-0.0069744,15.82983395
STARLINK-36369,2026-026C,2,INCLINATION=HIGH (97.285600 > 83.857200); BSTAR=LOW (-0.046758 < -0.003262),0.0001714,97.2856,-0.046758,15.41806199
STARLINK-36372,2026-035L,2,INCLINATION=HIGH (97.270700 > 83.857200); BSTAR=LOW (-0.007161 < -0.003262),0.0001428,97.2707,-0.0071613,15.82822967
STARLINK-36376,2026-018B,2,INCLINATION=HIGH (97.284300 > 83.857200); BSTAR=LOW (-0.019034 < -0.003262),0.0001513,97.2843,-0.019034,15.68420718
STARLINK-36390,2026-035H,2,INCLINATION=HIGH (97.272400 > 83.857200); BSTAR=LOW (-0.006906 < -0.003262),0.000151,97.2724,-0.0069064,15.8305699
STARLINK-36391,2026-018C,2,INCLINATION=HIGH (97.284900 > 83.857200); BSTAR=LOW (-0.021802 < -0.003262),0.0001691,97.2849,-0.021802,15.65110176
STARLINK-36399,2026-022T,2,INCLINATION=HIGH (97.284700 > 83.857200); BSTAR=LOW (-0.021549 < -0.003262),0.0001463,97.2847,-0.021549,15.65116447
STARLINK-36404,2026-022S,2,INCLINATION=HIGH (97.284900 > 83.857200); BSTAR=LOW (-0.028520 < -0.003262),0.0001512,97.2849,-0.02852,15.56762042
STARLINK-36411,2026-018V,2,INCLINATION=HIGH (97.284800 > 83.857200); BSTAR=LOW (-0.024471 < -0.003262),0.0001628,97.2848,-0.024471,15.61249769
STARLINK-36582,2026-018L,2,INCLINATION=HIGH (97.284200 > 83.857200); BSTAR=LOW (-0.021697 < -0.003262),0.0001458,97.2842,-0.021697,15.64874416
STARLINK-36596,2026-022Y,2,INCLINATION=HIGH (97.284400 > 83.857200); BSTAR=LOW (-0.025226 < -0.003262),0.0001504,97.2844,-0.025226,15.60880389
STARLINK-36597,2026-018AA,2,INCLINATION=HIGH (97.284900 > 83.857200); BSTAR=LOW (-0.029700 < -0.003262),0.000139,97.2849,-0.0297,15.55514282
STARLINK-36616,2026-022AA,2,INCLINATION=HIGH (97.284300 > 83.857200); BSTAR=LOW (-0.020295 < -0.003262),0.0001764,97.2843,-0.020295,15.66657928
STARLINK-36620,2026-022G,2,INCLINATION=HIGH (97.284600 > 83.857200); BSTAR=LOW (-0.023652 < -0.003262),0.0001345,97.2846,-0.023652,15.62526592
STARLINK-36622,2026-022V,2,INCLINATION=HIGH (97.284700 > 83.857200); BSTAR=LOW (-0.023093 < -0.003262),0.0001441,97.2847,-0.023093,15.63200154
STARLINK-36625,2026-022W,2,INCLINATION=HIGH (97.284400 > 83.857200); BSTAR=LOW (-0.021017 < -0.003262),0.0001572,97.2844,-0.021017,15.65704546
STARLINK-36628,2026-018G,2,INCLINATION=HIGH (97.284500 > 83.857200); BSTAR=LOW (-0.021720 < -0.003262),0.0001668,97.2845,-0.02172,15.65082489
STARLINK-36629,2026-018H,2,INCLINATION=HIGH (97.284700 > 83.857200); BSTAR=LOW (-0.019311 < -0.003262),0.0001705,97.2847,-0.019311,15.6809972
STARLINK-36634,2026-018E,2,INCLINATION=HIGH (97.284700 > 83.857200); BSTAR=LOW (-0.016262 < -0.003262),0.0001464,97.2847,-0.016262,15.72354224
STARLINK-36635,2026-018N,2,INCLINATION=HIGH (97.284200 > 83.857200); BSTAR=LOW (-0.006087 < -0.003262),0.000331,97.2842,-0.0060873,15.73114278
STARLINK-36636,2026-018Y,2,INCLINATION=HIGH (97.284500 > 83.857200); BSTAR=LOW (-0.028038 < -0.003262),0.0001291,97.2845,-0.028038,15.57742479
STARLINK-36638,2026-018F,2,INCLINATION=HIGH (97.284500 > 83.857200); BSTAR=LOW (-0.030024 < -0.003262),0.0001462,97.2845,-0.030024,15.55775168
STARLINK-36639,2026-022X,2,INCLINATION=HIGH (97.284600 > 83.857200); BSTAR=LOW (-0.019376 < -0.003262),0.0001482,97.2846,-0.019376,15.6755389
STARLINK-36641,2026-018A,2,INCLINATION=HIGH (97.284300 > 83.857200); BSTAR=LOW (-0.019842 < -0.003262),0.0001806,97.2843,-0.019842,15.67461866
