OBJECT_NAME,NORAD_CAT_ID,INCLINATION,APOAPSIS,PERIAPSIS,BSTAR,iso_score,pca_score,combined_score,anomaly_flag
STARLINK-35033,65468,53.16,475.976,474.329,0.0015688,0.06051046352221309,0.0012709680457640238,0.030890715783988557,0
STARLINK-34924,65469,53.1598,476.709,473.711,0.00035408,0.09218785321848025,0.003541626085941168,0.047864739652210705,0
STARLINK-34829,65470,53.1582,476.104,474.445,0.00077789,0.0603749887830061,0.004234917059284638,0.03230495292114537,0
STARLINK-34888,65471,53.1553,475.87,474.545,0.00055226,0.04436142324215841,0.0038417508612313203,0.024101587051694864,0
STARLINK-34799,65472,53.1604,475.832,474.543,0.00076283,0.04177675340490546,0.0035194369831070813,0.022648095194006273,0
STARLINK-34762,65473,53.1556,476.395,473.976,0.00088419,0.08844187235269951,0.0024031708759553946,0.04542252161432746,0
STARLINK-34998,65474,53.1579,476.161,474.301,0.00062375484,0.03713006520075726,0.0018295493868039268,0.019479807293780595,0
STARLINK-34832,65475,53.1582,476.456,473.965,0.0013717316,0.11461842262214283,0.0030255398404472602,0.05882198123129505,0
STARLINK-35098,65476,53.159,476.052,474.101,0.0021635,0.28017720192227547,0.014039010436676672,0.14710810617947606,0
STARLINK-35071,65477,53.1566,476.269,474.135,0.00080965,0.04881980507724377,0.0009494088481228275,0.024884606962683298,0
STARLINK-35093,65478,53.1581,475.982,474.295,0.0010896,0.060734817047284555,0.0029803440432393364,0.03185758054526194,0
STARLINK-35096,65479,53.159,476.183,474.144,0.00084409,0.03981262919784321,0.0008367892139800101,0.02032470920591161,0
STARLINK-35040,65480,53.1568,476.128,474.267,0.00090196,0.08971905322957058,0.005876274511910706,0.04779766387074064,0
STARLINK-35042,65481,53.16,475.958,474.307,0.0010229,0.09069519848743406,0.005656045017337513,0.04817562175238579,0
STARLINK-35226,65492,53.1607,476.037,474.327,0.0012258,0.05502786049230244,0.001062214498305803,0.028045037495304122,0
STARLINK-35216,65516,53.1561,475.973,474.386,0.0011554,0.05346326431968893,0.0017867876547689556,0.027625025987228942,0
