OBJECT_NAME,OBJECT_ID,predicted_anomaly,lof_score,ECCENTRICITY,INCLINATION,BSTAR,MEAN_MOTION
STARLINK-30781,2023-162F,1,-2.625097539846416,0.0001315,43.0029,0.0010436,15.26720006
STARLINK-31351,2024-031H,1,-2.621277001301255,6.6e-05,53.1613,-0.00055481214,15.30272681
STARLINK-6309,2023-065AJ,1,-2.617281233792732,5.95e-05,43.0034,-0.00011659,15.0253562
STARLINK-1301,2020-019B,1,-2.6159277039577953,9.138e-05,53.0424,0.00061510509,15.65094391
STARLINK-2150,2021-017T,1,-2.6100651026059536,8.756e-05,53.1615,-0.00068766614,15.30276411
STARLINK-30903,2023-177E,1,-2.6098781476102944,0.00025045,43.0003,0.004579941,15.27249349
STARLINK-2571,2021-038BA,1,-2.6093242212834946,0.00011017,53.1602,0.00059778025,15.29369792
STARLINK-35892,2025-299P,1,-2.6050443542377204,8.58e-05,43.0,-0.040984,15.2912458
STARLINK-30219,2023-113N,1,-2.6003773327539297,0.0001226,43.0008,-0.00095339,15.22649392
STARLINK-33590,2025-123AB,1,-2.596999106163839,0.0014293,70.0062,-0.10246,14.96333137
STARLINK-1733,2020-070AJ,1,-2.590258836308,0.0002347,53.0421,0.00058388,15.74538991
STARLINK-36385,2026-025AA,1,-2.589042359042277,0.0001519,97.286,0.0015562,15.80915484
STARLINK-4451,2022-099AD,1,-2.589038512512441,0.0001168,97.6041,0.0046256,15.01759928
STARLINK-2594,2021-038AM,1,-2.5876524496467685,0.00012057,53.1565,0.00027932733,15.29367456
STARLINK-34176,2025-110J,1,-2.5869293644601496,0.00015768,53.1602,-0.00047163172,15.3021361
STARLINK-35222,2025-212B,1,-2.581892048426486,0.0002176,53.1599,-0.00048157,15.30163111
STARLINK-1790,2020-073X,1,-2.580751606496512,0.0002557,53.0412,0.0003585,15.73759624
STARLINK-36219,2025-299Z,1,-2.5766805496333705,0.0001225,42.999,0.0012124,15.28437892
STARLINK-4302,2022-099S,1,-2.563496092623088,0.00051,97.5999,-0.00014864,15.01270764
STARLINK-36516,2026-008L,1,-2.560476354724371,0.0006312,42.9979,0.0012685,15.27611988
STARLINK-30904,2023-177P,1,-2.5556162504118047,0.0004064,43.0008,0.0010662961,15.04893689
STARLINK-11349,2024-184N,1,-2.5537234497889076,4.26e-05,53.1612,1.9409e-05,15.69708051
STARLINK-30464,2023-146T,1,-2.5505871621297014,5.711e-05,42.9927,4.3943755e-05,15.0332988
STARLINK-34374,2025-123T,1,-2.5420055770832244,0.0015462,70.0022,0.071355,15.00262547
STARLINK-3603,2022-017BA,1,-2.5398548118987723,6.88e-05,53.2169,0.0029798,15.76586174
STARLINK-2512,2021-036AV,1,-2.5383407209983306,0.0001073,53.1513,0.0037066,15.29233441
STARLINK-35875,2025-299K,1,-2.5353175566733968,0.000146,42.9999,0.00089078,15.28447319
STARLINK-5272,2023-010AF,1,-2.527283484560367,0.0018637,69.9936,0.00087779,16.43522126
STARLINK-34472,2025-129Y,1,-2.519503403837823,0.0004778,70.0007,0.00045433,14.98341094
STARLINK-6148,2023-090S,1,-2.518380932149218,0.0002929,43.0068,-9.6802e-05,15.02526087
STARLINK-2680,2021-040E,1,-2.5163342105363196,8.1e-05,53.0547,0.00016472,15.06414446
STARLINK-2757,2021-041BD,1,-2.506812145636843,0.0001309,53.0534,0.00061908,15.06423351
STARLINK-2686,2021-040AN,1,-2.5062950827550834,0.0001001,53.1566,-0.00044272,15.29354702
STARLINK-1443,2020-035D,1,-2.5043416804474274,0.00032953,53.1397,0.0024254988,15.25421513
STARLINK-33905,2025-094T,1,-2.5017349476216135,0.0002722,70.0022,-0.00048051,14.98342522
STARLINK-5660,2023-013E,1,-2.5007370629262775,5.888e-05,43.0015,7.2126372e-05,15.02534749
STARLINK-2386,2021-018U,1,-2.499221431880506,8.23e-05,53.056,0.00018009,15.06395791
STARLINK-36195,2025-299Y,1,-2.4913747092489444,0.0001333,42.9995,-0.067367,15.33812534
STARLINK-6169,2023-083P,1,-2.486481621692689,0.0001418,43.0076,0.0003574,15.02566063
STARLINK-32955,2025-039P,1,-2.4840853886609917,0.0010016,43.0013,0.0021957,15.36199313
STARLINK-33967,2025-102F,1,-2.480775085755897,0.0003106,70.0018,-0.00035634,14.98322042
STARLINK-2627,2021-044BB,1,-2.4806469278470638,0.000132,53.1564,0.00010541,15.29363803
STARLINK-33858,2025-094X,1,-2.474969802016663,0.0002643,70.0017,-0.011173,14.97950346
STARLINK-1281,2020-019L,1,-2.4698348349059005,0.0003801,53.1575,0.0035097,15.2989548
STARLINK-4407,2022-084H,1,-2.4685745845138354,0.0003163,97.6114,0.0017399,15.91980074
STARLINK-5731,2023-083BA,1,-2.466706334050746,0.0004484,43.0043,0.0021362646,15.02773384
STARLINK-34920,2025-194P,1,-2.4604136375368744,0.0001053,97.6016,0.001188,15.05687797
STARLINK-1525,2020-055AR,1,-2.455394695408587,0.0001624,53.0563,0.00097568,15.13713468
STARLINK-1971,2021-009AA,1,-2.4480899202209434,9.09e-05,53.0381,0.0013861,15.89880802
STARLINK-34868,2025-210AC,1,-2.443977100777181,0.00012704,53.1611,-0.00034284567,15.30188513
STARLINK-30164,2023-113F,1,-2.440888019075465,0.0001276,43.0009,0.0012026,15.26686241
STARLINK-32932,2025-037G,1,-2.4322827850399977,0.0002714,70.0029,-0.00044217286,14.98335439
STARLINK-6033,2023-058F,1,-2.4298532198714566,0.0002158,97.6042,0.0025565,15.04733273
STARLINK-36312,2026-018W,1,-2.4205674700571143,0.000229,97.2809,-0.0039457,15.7437625
STARLINK-34051,2025-102A,1,-2.4161157239511786,0.000372,70.0007,0.0028212,14.98319475
STARLINK-36268,2025-304H,1,-2.4130984984313213,0.0001942,70.0059,0.0028814,14.98348848
STARLINK-2457,2021-036AX,1,-2.4122921488764564,8.56e-05,53.1515,0.0037586,15.29229642
STARLINK-5968,2023-042AA,1,-2.4085395905569427,0.00012476,43.0014,-0.00012792849,15.02530514
STARLINK-30359,2023-134J,1,-2.4064342758041564,0.0001573,43.008,0.0085237,15.26677911
STARLINK-5288,2023-010AQ,1,-2.403780850981769,0.0003088,70.0023,-0.00032466,14.98329796
STARLINK-30778,2023-167H,1,-2.3994533450380837,0.0003609,43.002,0.0026383,15.27297794
STARLINK-5658,2023-013H,1,-2.3990228186124467,0.000229,43.0075,6.4763e-05,15.02537038
STARLINK-34407,2025-126D,1,-2.3980973470096405,0.0011048,70.0039,0.048505,14.99324176
STARLINK-1047,2019-074AR,1,-2.3958591210273577,0.0002161,53.0701,0.00038214,15.32632623
STARLINK-2697,2021-040AY,1,-2.387815888754867,0.000121,53.1512,0.0033514,15.29160033
STARLINK-36912,2026-038A,1,-2.3835219294805405,0.0001214,97.2763,-0.0040131,15.81299684
STARLINK-34225,2025-129C,1,-2.379938260265944,0.0003191,70.0017,-0.00028017,14.98335598
STARLINK-1335,2020-025BC,1,-2.3798922686352593,0.0001406,53.1591,0.00011586,15.29365996
STARLINK-36470,2026-002Q,1,-2.3749473832655026,8.76e-05,42.9976,-0.00020554,15.27611152
STARLINK-32933,2025-037F,1,-2.3705033600090983,0.0002619,70.0025,-0.0010949,14.98331352
STARLINK-5136,2023-061AS,1,-2.3691698408668627,6.46e-05,43.0042,0.00017355,15.025439
STARLINK-34270,2025-126M,1,-2.3686903600994866,0.000751,70.0083,-0.096062,14.96514764
STARLINK-34111,2025-102V,1,-2.368169768116787,0.0003885,70.0004,0.002954,14.98320035
STARLINK-34909,2025-191Y,1,-2.3622494243573327,0.0002554,97.6019,0.0016798,15.05689423
STARLINK-34346,2025-112K,1,-2.3603904858736566,6.304e-05,97.6036,0.0015739036,15.05690655
STARLINK-11149,2024-112D,1,-2.355451186238221,4.55e-05,53.1587,-1.2822e-05,15.69684106
STARLINK-2607,2021-038AQ,1,-2.3496264240399483,0.00012918,53.1605,0.00023395002,15.29367122
STARLINK-36259,2025-299E,1,-2.3473950168851645,7.62e-05,43.0008,-0.085755,15.30959216
STARLINK-5092,2023-014T,1,-2.340354727200064,0.0003187,69.9988,0.0014857,16.02601397
STARLINK-6321,2023-099N,1,-2.3339938465638057,0.0002261,43.0087,0.00012651,15.02547711
STARLINK-6152,2023-090W,1,-2.333816904796813,6.46e-05,42.9998,-9.8444e-05,15.02522669
STARLINK-31861,2024-100X,1,-2.3334348461506784,8.54e-05,43.005,-0.00028993,15.27477085
STARLINK-1506,2020-038T,1,-2.3263306159168025,0.0002524,53.0742,0.00082454,15.26302733
